"<god>","<24_let>","<27_let>","<35-39_let>","<16_let>","<18_let>","<40-49_let>","<region>","<21_let>","<29_let>","<26_let>","<60_i_starshe>","<15_let>","<30-34_goda>","<19_let>","<23_let>","<obshyaya_chislennost_stydentov_na_nachalo_uchebnogo_goda_po_vozrastam>","<28_let>","<22_let>","<50-59_let>","<20_let>","<17_let>","<25_let>"
"2021","19155","8966","10564","4088","86941","9166","Қазақстан Республикасы","66503","6347","11468","42","58","16452","94656","26237","575511","7674","36619","2095","95310","58180","14990"
"2021","812","514","263","39","1249","145","Қызылорда","1581","360","522","-","-","393","1411","846","12524","406","1009","17","1509","803","645"
"2021","1194","628","1189","132","3727","1050","Шығыс  Қазақстан","3583","453","614","5","2","2001","4505","1625","32211","535","2137","338","4869","2647","977"
"2021","309","215","325","10","1709","275","Ақмола","1571","188","249","1","-","576","1832","485","12044","198","721","80","2120","926","254"
"2021","1643","547","945","28","1407","743","Батыс Қазақстан","4050","384","624","-","-","1341","3196","2347","26889","514","2980","132","3649","1554","805"
"2021","189","83","90","21","1317","101","Маңғыстау","497","60","120","-","-","226","837","203","6553","62","303","13","683","1587","161"
"2021","1172","323","369","963","12377","209","Нұр-Сұлтан қаласы","7922","189","400","4","16","538","12218","2107","62788","233","3299","40","11514","8348","547"
"2021","772","359","422","64","3620","636","Ақтөбе","2596","261","349","-","-","1091","4087","1123","24909","274","1596","141","3823","2434","1261"
"2021","1024","658","657","18","3001","606","Жамбыл","2091","555","810","-","-","876","2934","1175","22443","604","1205","110","3166","2011","942"
"2021","505","342","886","27","1761","766","Павлодар","2168","294","333","5","-","1221","2147","726","16713","264","1224","228","2571","847","398"
"2021","3092","1191","1808","1395","32716","1663","Алматы қаласы","20352","1039","1438","21","36","2554","32933","5272","172224","1093","9241","411","32108","21978","1883"
"2021","125","65","137","192","2488","117","Алматы","924","59","87","-","-","255","2177","174","11572","67","380","27","2060","2143","95"
"2021","1296","724","862","258","5527","886","Қарағанды","5307","468","660","1","-","1571","6655","1871","41163","460","2677","203","6961","3786","990"
"2021","92","51","69","46","1505","52","Солтүстік Қазақстан","773","32","44","-","-","115","1610","156","7338","41","275","19","1484","925","49"
"2021","5501","2487","1397","120","8762","959","Шымкент қаласы","8317","1418","4277","2","-","1847","11739","6119","82840","2246","6673","156","12138","3867","4815"
"2021","311","180","361","11","1600","376","Атырау","1228","170","205","3","-","623","1931","413","11775","171","643","75","2058","1190","226"
"2021","707","436","715","652","1922","542","Қостанай","1871","346","485","-","4","1119","2251","999","18352","381","1278","103","2576","1382","583"
"2021","411","163","69","112","2253","40","Түркістан ","1672","71","251","-","-","105","2193","596","13173","125","978","2","2021","1752","359"

